"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000217655.1","GCA_030436145.1"
"ftsH","","ATP-dependent zinc metalloprotease FtsH","2","2","1","1","848","","","","2027","2027","2027","LIHGCB_00761","OBIBPL_00760"
"group_283","hypothetical protein","hypothetical protein","2","2","1","1","297","","","","443","443","443","LIHGCB_00179","OBIBPL_00182"
"N-acetyltransferase domain-containing protein","","N-acetyltransferase domain-containing protein","2","2","1","1","893","","","","911","911","911","LIHGCB_00809","OBIBPL_00808"
"Antigen TpF1","","Antigen TpF1","2","2","1","1","4","","","","533","533","533","LIHGCB_01027","OBIBPL_01024"
"rfuB","","putative riboflavin import ATP-binding protein RfuB","2","2","1","1","409","","","","1757","1757","1757","LIHGCB_00303","OBIBPL_00305"
"DUF1007 domain-containing protein","","DUF1007 domain-containing protein","2","2","1","1","654","","","","713","713","713","LIHGCB_00557","OBIBPL_00554"
"group_288","hypothetical protein","hypothetical protein","2","2","1","1","112","","","","1469","1469","1469","LIHGCB_00917","OBIBPL_00915"
"Segregation and condensation protein A","","Segregation and condensation protein A","2","2","1","1","778","","","","758","758","758","LIHGCB_00689","OBIBPL_00688"
"Uncharacterized protein TP_1000","","Uncharacterized protein TP_1000","2","2","1","1","43","","","","539","560","549","LIHGCB_00989","OBIBPL_00986"
"group_290","hypothetical protein","hypothetical protein","2","2","1","1","473","","","","1334","1334","1334","LIHGCB_00366","OBIBPL_00364"
"Large ribosomal subunit protein bL28","","Large ribosomal subunit protein bL28","2","2","1","1","475","","","","236","236","236","LIHGCB_00364","OBIBPL_00362"
"group_292","hypothetical protein","hypothetical protein","2","2","1","1","915","","","","1007","1007","1007","LIHGCB_00831","OBIBPL_00830"
"dnaB","","Replicative DNA helicase DnaB","2","2","1","1","178","","","","1316","1316","1316","LIHGCB_00055","OBIBPL_00055"
"group_294","hypothetical protein","hypothetical protein","2","2","1","1","82","","","","389","389","389","LIHGCB_00948","OBIBPL_00945"
"group_295","hypothetical protein","hypothetical protein","2","2","1","1","426","","","","1898","1898","1898","LIHGCB_00414","OBIBPL_00411"
"V-type ATP synthase alpha chain 2","","V-type ATP synthase alpha chain 2","2","2","1","1","626","","","","1817","1817","1817","LIHGCB_00528","OBIBPL_00525"
"trkA","","TrkA family potassium uptake protein","2","2","1","1","259","","","","692","692","692","LIHGCB_00139","OBIBPL_00141"
"group_298","hypothetical protein","hypothetical protein","2","2","1","1","223","","","","410","410","410","LIHGCB_00100","OBIBPL_00101"
"Apolipoprotein N-acyltransferase 2","","Apolipoprotein N-acyltransferase 2","2","2","1","1","520","","","","1679","1679","1679","LIHGCB_00418","OBIBPL_00415"
"group_3","Solute-binding protein family 3/N-terminal domain-containing protein","Solute-binding protein family 3/N-terminal domain-containing protein","2","2","1","1","418","","","","218","818","518","LIHGCB_00312","OBIBPL_00314"
"group_30","hypothetical protein","hypothetical protein","2","2","1","1","29","","","","1862","1934","1898","LIHGCB_01003","OBIBPL_01000"
"troC","","transition metal ABC transporter permease subunit TroC","2","2","1","1","286","","","","896","896","896","LIHGCB_00167","OBIBPL_00170"
"Uncharacterized protein TP_0073","","Uncharacterized protein TP_0073","2","2","1","1","192","","","","1490","1490","1490","LIHGCB_00069","OBIBPL_00069"
"group_302","hypothetical protein","hypothetical protein","2","2","1","1","272","","","","467","467","467","LIHGCB_00153","OBIBPL_00156"
"S-adenosylmethionine synthase","","S-adenosylmethionine synthase","2","2","1","1","876","","","","1190","1190","1190","LIHGCB_00791","OBIBPL_00791"
"group_304","hypothetical protein","hypothetical protein","2","2","1","1","334","","","","1469","1469","1469","LIHGCB_00216","OBIBPL_00219"
"group_305","hypothetical protein","hypothetical protein","2","2","1","1","708","","","","272","272","272","LIHGCB_00318","OBIBPL_00613"
"group_306","hypothetical protein","hypothetical protein","2","2","1","1","430","","","","377","377","377","LIHGCB_00410","OBIBPL_00407"
"tRNA-specific adenosine deaminase","","tRNA-specific adenosine deaminase","2","2","1","1","391","","","","500","500","500","LIHGCB_00285","OBIBPL_00287"
"group_308","hypothetical protein","hypothetical protein","2","2","1","1","903","","","","962","962","962","LIHGCB_00819","OBIBPL_00818"
"Mannosylglycerate hydrolase MGH1-like glycoside hydrolase domain-containing protein","","Mannosylglycerate hydrolase MGH1-like glycoside hydrolase domain-containing protein","2","2","1","1","110","","","","1430","1430","1430","LIHGCB_00919","OBIBPL_00917"
"Valine--tRNA ligase","","Valine--tRNA ligase","2","2","1","1","7","","","","2870","2954","2912","LIHGCB_01024","OBIBPL_01021"
"group_310","hypothetical protein","hypothetical protein","2","2","1","1","147","","","","710","710","710","LIHGCB_00024","OBIBPL_00024"
"group_311","RNA helicase","RNA helicase","2","2","1","1","853","","","","1814","1814","1814","LIHGCB_00766","OBIBPL_00765"
"Putative adenosine/adenine deaminase","","Putative adenosine/adenine deaminase","2","2","1","1","165","","","","899","899","899","LIHGCB_00042","OBIBPL_00042"
"rsmD","","16S rRNA (Guanine(966)-N(2))-methyltransferase RsmD","2","2","1","1","184","","","","545","545","545","LIHGCB_00061","OBIBPL_00061"
"group_314","dnaK","Chaperone protein DnaK","2","2","1","1","332","","","","1907","1907","1907","LIHGCB_00214","OBIBPL_00217"
"cfpA","","cytoplasmic filament protein CfpA","2","2","1","1","833","","","","2036","2036","2036","LIHGCB_00746","OBIBPL_00745"
"group_316","hypothetical protein","hypothetical protein","2","2","1","1","212","","","","647","647","647","LIHGCB_00089","OBIBPL_00089"
"Pyrimidine 5'-nucleotidase","","Pyrimidine 5'-nucleotidase","2","2","1","1","280","","","","665","665","665","LIHGCB_00161","OBIBPL_00164"
"group_318","hypothetical protein","hypothetical protein","2","2","1","1","975","","","","881","881","881","LIHGCB_00890","OBIBPL_00888"
"Putative uracil phosphoribosyltransferase","","Putative uracil phosphoribosyltransferase","2","2","1","1","550","","","","1082","1082","1082","LIHGCB_00447","OBIBPL_00444"
"Magnesium/cobalt efflux protein","","Magnesium/cobalt efflux protein","2","2","1","1","738","","","","797","797","797","LIHGCB_00646","OBIBPL_00645"
"ribose-phosphate diphosphokinase","","ribose-phosphate diphosphokinase","2","2","1","1","404","","","","1265","1265","1265","LIHGCB_00298","OBIBPL_00300"
"Ribonuclease Z","","Ribonuclease Z","2","2","1","1","896","","","","926","926","926","LIHGCB_00812","OBIBPL_00811"
"Small ribosomal subunit protein uS15","","Small ribosomal subunit protein uS15","2","2","1","1","960","","","","269","269","269","LIHGCB_00876","OBIBPL_00874"
"khpB","","RNA-binding protein KhpB N-terminal domain-containing protein","2","2","1","1","795","","","","1970","1970","1970","LIHGCB_00708","OBIBPL_00707"
"group_325","hypothetical protein","hypothetical protein","2","2","1","1","279","","","","902","902","902","LIHGCB_00160","OBIBPL_00163"
"group_326","hypothetical protein","hypothetical protein","2","2","1","1","351","","","","179","179","179","LIHGCB_00240","OBIBPL_00242"
"Polynucleotide adenylyltransferase","","Polynucleotide adenylyltransferase","2","2","1","1","387","","","","1526","1526","1526","LIHGCB_00281","OBIBPL_00283"
"rodA","","Peptidoglycan glycosyltransferase RodA","2","2","1","1","599","","","","1301","1301","1301","LIHGCB_00498","OBIBPL_00495"
"Outer membrane protein","","Outer membrane protein","2","2","1","1","509","","","","518","518","518","LIHGCB_00328","OBIBPL_00326"
"tsaE","","tRNA threonylcarbamoyladenosine biosynthesis protein TsaE","2","2","1","1","948","","","","407","407","407","LIHGCB_00864","OBIBPL_00862"
"group_331","hypothetical protein","hypothetical protein","2","2","1","1","888","","","","764","764","764","LIHGCB_00804","OBIBPL_00803"
"Lon protease","","Lon protease","2","2","1","1","621","","","","2645","2645","2645","LIHGCB_00523","OBIBPL_00520"
"Uncharacterized protein TP_0374","","Uncharacterized protein TP_0374","2","2","1","1","463","","","","2318","2318","2318","LIHGCB_00377","OBIBPL_00374"
"AGCS family alanine or glycine:sodium (Na+) or proton (H+) symporter","","AGCS family alanine or glycine:sodium (Na+) or proton (H+) symporter","2","2","1","1","425","","","","1400","1400","1400","LIHGCB_00415","OBIBPL_00412"
"Lysine--tRNA ligase","","Lysine--tRNA ligase","2","2","1","1","734","","","","1586","1586","1586","LIHGCB_00642","OBIBPL_00641"
"group_336","hypothetical protein","hypothetical protein","2","2","1","1","416","","","","1028","1028","1028","LIHGCB_00310","OBIBPL_00312"
"fliP","","Flagellar biosynthetic protein FliP","2","2","1","1","803","","","","815","815","815","LIHGCB_00716","OBIBPL_00715"
"group_338","hypothetical protein","hypothetical protein","2","2","1","1","894","","","","644","644","644","LIHGCB_00810","OBIBPL_00809"
"group_339","hypothetical protein","hypothetical protein","2","2","1","1","187","","","","1022","1022","1022","LIHGCB_00064","OBIBPL_00064"
"hypothetical protein","","hypothetical protein","2","2","1","1","632","","","","284","284","284","LIHGCB_00534","OBIBPL_00531"
"group_341","hypothetical protein","hypothetical protein","2","2","1","1","331","","","","683","683","683","LIHGCB_00213","OBIBPL_00216"
"UvrABC system protein A","","UvrABC system protein A","2","2","1","1","611","","","","2930","2930","2930","LIHGCB_00513","OBIBPL_00510"
"Purine nucleoside phosphorylase DeoD-type","","Purine nucleoside phosphorylase DeoD-type","2","2","1","1","819","","","","701","701","701","LIHGCB_00732","OBIBPL_00731"
"PTS EIIA type-2 domain-containing protein","","PTS EIIA type-2 domain-containing protein","2","2","1","1","204","","","","446","446","446","LIHGCB_00081","OBIBPL_00081"
"TPR repeat-containing protein TP_0123","","TPR repeat-containing protein TP_0123","2","2","1","1","244","","","","2543","2543","2543","LIHGCB_00124","OBIBPL_00125"
"NAD 5'-nucleotidase","","NAD 5'-nucleotidase","2","2","1","1","224","","","","1628","1628","1628","LIHGCB_00101","OBIBPL_00102"
"group_347","hypothetical protein","hypothetical protein","2","2","1","1","786","","","","392","392","392","LIHGCB_00698","OBIBPL_00697"
"Uncharacterized protein TP_0629","","Uncharacterized protein TP_0629","2","2","1","1","721","","","","812","812","812","LIHGCB_00626","OBIBPL_00624"
"group_349","hypothetical protein","hypothetical protein","2","2","1","1","249","","","","269","269","269","LIHGCB_00129","OBIBPL_00130"
"DUF1361 domain-containing protein","","DUF1361 domain-containing protein","2","2","1","1","155","","","","611","611","611","LIHGCB_00032","OBIBPL_00032"
"group_351","Tetratricopeptide repeat protein","Tetratricopeptide repeat protein","2","2","1","1","98","","","","1172","1172","1172","LIHGCB_00932","OBIBPL_00930"
"N-acetylneuraminate synthase","","N-acetylneuraminate synthase","2","2","1","1","659","","","","1136","1136","1136","LIHGCB_00562","OBIBPL_00559"
"V-type ATP synthase beta chain","","V-type ATP synthase beta chain","2","2","1","1","529","","","","1292","1292","1292","LIHGCB_00427","OBIBPL_00424"
"Flagellar filament outer layer protein","","Flagellar filament outer layer protein","2","2","1","1","365","","","","1052","1052","1052","LIHGCB_00254","OBIBPL_00256"
"group_355","hypothetical protein","hypothetical protein","2","2","1","1","567","","","","797","797","797","LIHGCB_00463","OBIBPL_00460"
"Tyrosine--tRNA ligase","","Tyrosine--tRNA ligase","2","2","1","1","910","","","","1250","1250","1250","LIHGCB_00826","OBIBPL_00825"
"DUF4139 domain-containing protein","","DUF4139 domain-containing protein","2","2","1","1","557","","","","974","974","974","LIHGCB_00454","OBIBPL_00451"
"Uncharacterized protein TP_0900","","Uncharacterized protein TP_0900","2","2","1","1","973","","","","2960","2960","2960","LIHGCB_00888","OBIBPL_00886"
"Alanine--tRNA ligase","","Alanine--tRNA ligase","2","2","1","1","26","","","","1931","1931","1931","LIHGCB_01006","OBIBPL_01003"
"group_360","hypothetical protein","hypothetical protein","2","2","1","1","484","","","","626","626","626","LIHGCB_00355","OBIBPL_00353"
"group_361","hypothetical protein","hypothetical protein","2","2","1","1","38","","","","1718","1718","1718","LIHGCB_00994","OBIBPL_00991"
"UDP-N-acetylenolpyruvoylglucosamine reductase","","UDP-N-acetylenolpyruvoylglucosamine reductase","2","2","1","1","209","","","","1064","1064","1064","LIHGCB_00086","OBIBPL_00086"
"tRNA N6-adenosine threonylcarbamoyltransferase","","tRNA N6-adenosine threonylcarbamoyltransferase","2","2","1","1","767","","","","1058","1058","1058","LIHGCB_00678","OBIBPL_00677"
"OmpA-like domain-containing protein","","OmpA-like domain-containing protein","2","2","1","1","716","","","","1427","1427","1427","LIHGCB_00621","OBIBPL_00619"
"group_365","flaB1","Flagellin FlaB1","2","2","1","1","944","","","","857","857","857","LIHGCB_00860","OBIBPL_00858"
"Hexokinase","","Hexokinase","2","2","1","1","602","","","","1334","1334","1334","LIHGCB_00501","OBIBPL_00498"
"Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B","","Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B","2","2","1","1","22","","","","1529","1529","1529","LIHGCB_01010","OBIBPL_01007"
"cheA","","Chemotaxis protein CheA","2","2","1","1","474","","","","2432","2432","2432","LIHGCB_00365","OBIBPL_00363"
"group_369","hypothetical protein","hypothetical protein","2","2","1","1","987","","","","386","386","386","LIHGCB_00902","OBIBPL_00900"
"group_370","hypothetical protein","hypothetical protein","2","2","1","1","597","","","","506","506","506","LIHGCB_00496","OBIBPL_00493"
"znuC","","High-affinity zinc uptake system ATP-binding protein ZnuC","2","2","1","1","157","","","","716","716","716","LIHGCB_00034","OBIBPL_00034"
"group_372","hypothetical protein","hypothetical protein","2","2","1","1","294","","","","1328","1328","1328","LIHGCB_00176","OBIBPL_00179"
"DNA polymerase III subunit alpha","","DNA polymerase III subunit alpha","2","2","1","1","757","","","","3512","3512","3512","LIHGCB_00666","OBIBPL_00665"
"group_374","hypothetical protein","hypothetical protein","2","2","1","1","451","","","","815","815","815","LIHGCB_00389","OBIBPL_00386"
"xerD","","Integrase/recombinase XerD","2","2","1","1","448","","","","920","920","920","LIHGCB_00392","OBIBPL_00389"
"Uncharacterized protein TP_0376","","Uncharacterized protein TP_0376","2","2","1","1","461","","","","896","896","896","LIHGCB_00379","OBIBPL_00376"
"putative tRNA sulfurtransferase","","putative tRNA sulfurtransferase","2","2","1","1","656","","","","1205","1205","1205","LIHGCB_00559","OBIBPL_00556"
"Uncharacterized protein TP_0777","","Uncharacterized protein TP_0777","2","2","1","1","860","","","","224","224","224","LIHGCB_00775","OBIBPL_00775"
"group_379","hypothetical protein","hypothetical protein","2","2","1","1","542","","","","1151","1151","1151","LIHGCB_00439","OBIBPL_00436"
"Pseudouridylate synthase","","Pseudouridylate synthase","2","2","1","1","276","","","","1100","1100","1100","LIHGCB_00157","OBIBPL_00160"
"group_381","hypothetical protein","hypothetical protein","2","2","1","1","628","","","","317","317","317","LIHGCB_00530","OBIBPL_00527"
"group_382","hypothetical protein","hypothetical protein","2","2","1","1","729","","","","434","434","434","LIHGCB_00634","OBIBPL_00632"
"Uncharacterized AAA domain-containing protein ycf46","","Uncharacterized AAA domain-containing protein ycf46","2","2","1","1","507","","","","1796","1796","1796","LIHGCB_00331","OBIBPL_00329"
"group_384","hypothetical protein","hypothetical protein","2","2","1","1","503","","","","464","464","464","LIHGCB_00336","OBIBPL_00334"
"6-phosphogluconate dehydrogenase, decarboxylating","","6-phosphogluconate dehydrogenase, decarboxylating","2","2","1","1","506","","","","1466","1466","1466","LIHGCB_00333","OBIBPL_00331"
"Putative membrane protein insertion efficiency factor","","Putative membrane protein insertion efficiency factor","2","2","1","1","92","","","","284","284","284","LIHGCB_00938","OBIBPL_00936"
"Ribosomal RNA small subunit methyltransferase H","","Ribosomal RNA small subunit methyltransferase H","2","2","1","1","455","","","","1139","1139","1139","LIHGCB_00385","OBIBPL_00382"
"group_388","hypothetical protein","hypothetical protein","2","2","1","1","580","","","","488","488","488","LIHGCB_00476","OBIBPL_00473"
"group_389","hypothetical protein","hypothetical protein","2","2","1","1","298","","","","638","638","638","LIHGCB_00180","OBIBPL_00183"
"group_390","hypothetical protein","hypothetical protein","2","2","1","1","170","","","","608","608","608","LIHGCB_00047","OBIBPL_00047"
"group_391","hypothetical protein","hypothetical protein","2","2","1","1","113","","","","212","212","212","LIHGCB_00916","OBIBPL_00914"
"HAD family hydrolase","","HAD family hydrolase","2","2","1","1","432","","","","656","656","656","LIHGCB_00408","OBIBPL_00405"
"group_393","hypothetical protein","hypothetical protein","2","2","1","1","207","","","","614","614","614","LIHGCB_00084","OBIBPL_00084"
"5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase","","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase","2","2","1","1","290","","","","809","809","809","LIHGCB_00172","OBIBPL_00175"
"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase","","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase","2","2","1","1","289","","","","755","755","755","LIHGCB_00170","OBIBPL_00173"
"fliE","","Flagellar hook-basal body complex protein FliE","2","2","1","1","441","","","","374","374","374","LIHGCB_00399","OBIBPL_00396"
"group_397","hypothetical protein","hypothetical protein","2","2","1","1","434","","","","242","242","242","LIHGCB_00406","OBIBPL_00403"
"Ribonucleoside-diphosphate reductase subunit beta","","Ribonucleoside-diphosphate reductase subunit beta","2","2","1","1","173","","","","1055","1055","1055","LIHGCB_00050","OBIBPL_00050"
"group_399","hypothetical protein","hypothetical protein","2","2","1","1","367","","","","317","317","317","LIHGCB_00256","OBIBPL_00258"
"group_400","hypothetical protein","hypothetical protein","2","2","1","1","479","","","","1580","1580","1580","LIHGCB_00360","OBIBPL_00358"
"group_401","clpA","ClpA","2","2","1","1","646","","","","2444","2444","2444","LIHGCB_00548","OBIBPL_00545"
"group_402","hypothetical protein","hypothetical protein","2","2","1","1","986","","","","182","182","182","LIHGCB_00901","OBIBPL_00899"
"Flagellar hook-associated protein 3","","Flagellar hook-associated protein 3","2","2","1","1","747","","","","1250","1250","1250","LIHGCB_00655","OBIBPL_00654"
"AAA+ ATPase domain-containing protein","","AAA+ ATPase domain-containing protein","2","2","1","1","942","","","","1940","1940","1940","LIHGCB_00858","OBIBPL_00856"
"Flagellar hook capping protein","","Flagellar hook capping protein","2","2","1","1","813","","","","461","461","461","LIHGCB_00726","OBIBPL_00725"
"ftsA","","Cell division protein FtsA","2","2","1","1","450","","","","1244","1244","1244","LIHGCB_00390","OBIBPL_00387"
"Uncharacterized protein TP_0552","","Uncharacterized protein TP_0552","2","2","1","1","649","","","","533","533","533","LIHGCB_00551","OBIBPL_00548"
"csrA","","Translational regulator CsrA","2","2","1","1","745","","","","221","221","221","LIHGCB_00653","OBIBPL_00652"
"ABC3 transporter permease protein domain-containing protein","","ABC3 transporter permease protein domain-containing protein","2","2","1","1","676","","","","1289","1289","1289","LIHGCB_00579","OBIBPL_00576"
"J domain-containing protein","","J domain-containing protein","2","2","1","1","660","","","","407","407","407","LIHGCB_00563","OBIBPL_00560"
"Endonuclease III","","Endonuclease III","2","2","1","1","857","","","","635","635","635","LIHGCB_00772","OBIBPL_00772"
"Transcription termination factor Rho","","Transcription termination factor Rho","2","2","1","1","370","","","","1559","1559","1559","LIHGCB_00259","OBIBPL_00261"
"Treponemal membrane protein B","","Treponemal membrane protein B","2","2","1","1","852","","","","977","977","977","LIHGCB_00765","OBIBPL_00764"
"DNA 3'-5' helicase","","DNA 3'-5' helicase","2","2","1","1","458","","","","1820","1820","1820","LIHGCB_00382","OBIBPL_00379"
"Methionine--tRNA ligase","","Methionine--tRNA ligase","2","2","1","1","879","","","","2435","2435","2435","LIHGCB_00794","OBIBPL_00794"
"1-deoxy-D-xylulose 5-phosphate reductoisomerase","","1-deoxy-D-xylulose 5-phosphate reductoisomerase","2","2","1","1","693","","","","1130","1130","1130","LIHGCB_00600","OBIBPL_00597"
"troA","","transition metal ABC transporter substrate-binding protein TroA","2","2","1","1","284","","","","926","926","926","LIHGCB_00165","OBIBPL_00168"
"34 kDa membrane antigen","","34 kDa membrane antigen","2","2","1","1","71","","","","614","614","614","LIHGCB_00959","OBIBPL_00956"
"TRAP-T family tripartite ATP-independent periplasmic transporter, membrane protein","","TRAP-T family tripartite ATP-independent periplasmic transporter, membrane protein","2","2","1","1","83","","","","1898","1898","1898","LIHGCB_00947","OBIBPL_00944"
"group_420","hypothetical protein","hypothetical protein","2","2","1","1","512","","","","950","950","950","LIHGCB_00325","OBIBPL_00323"
"group_421","hypothetical protein","hypothetical protein","2","2","1","1","717","","","","638","638","638","LIHGCB_00622","OBIBPL_00620"
"WecB/TagA/CpsF family glycosyl transferase","","WecB/TagA/CpsF family glycosyl transferase","2","2","1","1","392","","","","749","749","749","LIHGCB_00286","OBIBPL_00288"
"putative nicotinate-nucleotide adenylyltransferase","","putative nicotinate-nucleotide adenylyltransferase","2","2","1","1","826","","","","614","614","614","LIHGCB_00739","OBIBPL_00738"
"Ribosomal RNA small subunit methyltransferase I","","Ribosomal RNA small subunit methyltransferase I","2","2","1","1","67","","","","824","824","824","LIHGCB_00963","OBIBPL_00960"
"group_425","hypothetical protein","hypothetical protein","2","2","1","1","313","","","","218","218","218","LIHGCB_00195","OBIBPL_00198"
"pfoR","","putative regulatory protein PfoR","2","2","1","1","160","","","","1052","1052","1052","LIHGCB_00037","OBIBPL_00037"
"lytR","","LytR family transcriptional regulator","2","2","1","1","824","","","","1196","1196","1196","LIHGCB_00737","OBIBPL_00736"
"RNA helicase","","RNA helicase","2","2","1","1","623","","","","2006","2006","2006","LIHGCB_00525","OBIBPL_00522"
"Tpr protein H","","Tpr protein H","2","2","1","1","701","","","","2081","2081","2081","LIHGCB_00609","OBIBPL_00606"
"Diadenylate cyclase","","Diadenylate cyclase","2","2","1","1","902","","","","821","821","821","LIHGCB_00818","OBIBPL_00817"
"DNA adenine methylase","","DNA adenine methylase","2","2","1","1","889","","","","911","911","911","LIHGCB_00805","OBIBPL_00804"
"troB","","transition metal ABC transporter ATP-binding protein TroB","2","2","1","1","285","","","","800","800","800","LIHGCB_00166","OBIBPL_00169"
"Uncharacterized protein TP_0762","","Uncharacterized protein TP_0762","2","2","1","1","845","","","","1151","1151","1151","LIHGCB_00758","OBIBPL_00757"
"fliQ","","Flagellar biosynthetic protein FliQ","2","2","1","1","802","","","","281","281","281","LIHGCB_00715","OBIBPL_00714"
"group_435","hypothetical protein","hypothetical protein","2","2","1","1","86","","","","293","293","293","LIHGCB_00944","OBIBPL_00941"
"group_436","hypothetical protein","hypothetical protein","2","2","1","1","923","","","","335","335","335","LIHGCB_00839","OBIBPL_00838"
"group_437","Anti-sigma factor antagonist","Anti-sigma factor antagonist","2","2","1","1","349","","","","545","545","545","LIHGCB_00236","OBIBPL_00238"
"Signal peptide peptidase A","","Signal peptide peptidase A","2","2","1","1","46","","","","1796","1796","1796","LIHGCB_00986","OBIBPL_00983"
"group_439","hypothetical protein","hypothetical protein","2","2","1","1","368","","","","1640","1640","1640","LIHGCB_00257","OBIBPL_00259"
"Peptide chain release factor 1","","Peptide chain release factor 1","2","2","1","1","171","","","","1055","1055","1055","LIHGCB_00048","OBIBPL_00048"
"group_441","hypothetical protein","hypothetical protein","2","2","1","1","916","","","","2249","2249","2249","LIHGCB_00832","OBIBPL_00831"
"group_442","hypothetical protein","hypothetical protein","2","2","1","1","489","","","","530","530","530","LIHGCB_00350","OBIBPL_00348"
"Small ribosomal subunit protein uS13","","Small ribosomal subunit protein uS13","2","2","1","1","326","","","","365","365","365","LIHGCB_00208","OBIBPL_00211"
"group_444","hypothetical protein","hypothetical protein","2","2","1","1","133","","","","437","437","437","LIHGCB_00004","OBIBPL_00004"
"group_445","hypothetical protein","hypothetical protein","2","2","1","1","963","","","","380","380","380","LIHGCB_00879","OBIBPL_00877"
"group_446","hypothetical protein","hypothetical protein","2","2","1","1","199","","","","467","467","467","LIHGCB_00076","OBIBPL_00076"
"group_447","hypothetical protein","hypothetical protein","2","2","1","1","397","","","","560","560","560","LIHGCB_00291","OBIBPL_00293"
"Large ribosomal subunit protein bL21","","Large ribosomal subunit protein bL21","2","2","1","1","830","","","","317","317","317","LIHGCB_00743","OBIBPL_00742"
"Ribosome-recycling factor","","Ribosome-recycling factor","2","2","1","1","696","","","","551","551","551","LIHGCB_00603","OBIBPL_00600"
"group_450","hypothetical protein","hypothetical protein","2","2","1","1","627","","","","626","626","626","LIHGCB_00529","OBIBPL_00526"
"Fructose-1,6-bisphosphate aldolase, class II","","Fructose-1,6-bisphosphate aldolase, class II","2","2","1","1","750","","","","998","998","998","LIHGCB_00658","OBIBPL_00657"
"Motility protein A","","Motility protein A","2","2","1","1","810","","","","779","779","779","LIHGCB_00723","OBIBPL_00722"
"Ethanolaminephosphotransferase","","Ethanolaminephosphotransferase","2","2","1","1","758","","","","1001","1001","1001","LIHGCB_00668","OBIBPL_00667"
"Amino acid ABC transporter, periplasmic binding protein (HisJ)","","Amino acid ABC transporter, periplasmic binding protein (HisJ)","2","2","1","1","417","","","","965","965","965","LIHGCB_00311","OBIBPL_00313"
"Histidine--tRNA ligase","","Histidine--tRNA ligase","2","2","1","1","731","","","","1403","1403","1403","LIHGCB_00639","OBIBPL_00638"
"group_456","hypothetical protein","hypothetical protein","2","2","1","1","336","","","","158","158","158","LIHGCB_00218","OBIBPL_00221"
"Membrane lipoprotein TpN32","","Membrane lipoprotein TpN32","2","2","1","1","898","","","","806","806","806","LIHGCB_00814","OBIBPL_00813"
"Large ribosomal subunit protein uL2","","Large ribosomal subunit protein uL2","2","2","1","1","308","","","","821","821","821","LIHGCB_00190","OBIBPL_00193"
"UvrABC system protein C","","UvrABC system protein C","2","2","1","1","572","","","","2075","2075","2075","LIHGCB_00468","OBIBPL_00465"
"Putative periplasmic serine endoprotease DegP-like","","Putative periplasmic serine endoprotease DegP-like","2","2","1","1","917","","","","1574","1574","1574","LIHGCB_00833","OBIBPL_00832"
"group_461","hypothetical protein","hypothetical protein","2","2","1","1","859","","","","776","776","776","LIHGCB_00774","OBIBPL_00774"
"rfuD","","putative riboflavin import permease protein RfuD","2","2","1","1","411","","","","941","941","941","LIHGCB_00305","OBIBPL_00307"
"Small ribosomal subunit protein uS10","","Small ribosomal subunit protein uS10","2","2","1","1","304","","","","308","308","308","LIHGCB_00186","OBIBPL_00189"
"ruvB","","Holliday junction branch migration complex subunit RuvB","2","2","1","1","283","","","","1052","1052","1052","LIHGCB_00164","OBIBPL_00167"
"HPr kinase/phosphorylase","","HPr kinase/phosphorylase","2","2","1","1","684","","","","1034","1034","1034","LIHGCB_00587","OBIBPL_00584"
"Small ribosomal subunit protein bS18","","Small ribosomal subunit protein bS18","2","2","1","1","180","","","","299","299","299","LIHGCB_00057","OBIBPL_00057"
"Hypothetical outer membrane protein","","Hypothetical outer membrane protein","2","2","1","1","511","","","","4406","4406","4406","LIHGCB_00326","OBIBPL_00324"
"group_468","hypothetical protein","hypothetical protein","2","2","1","1","91","","","","401","401","401","LIHGCB_00939","OBIBPL_00937"
"group_469","hypothetical protein","hypothetical protein","2","2","1","1","156","","","","956","956","956","LIHGCB_00033","OBIBPL_00033"
"group_470","hypothetical protein","hypothetical protein","2","2","1","1","438","","","","929","929","929","LIHGCB_00402","OBIBPL_00399"
"group_471","hypothetical protein","hypothetical protein","2","2","1","1","132","","","","989","989","989","LIHGCB_00003","OBIBPL_00003"
"group_472","hypothetical protein","hypothetical protein","2","2","1","1","839","","","","689","689","689","LIHGCB_00752","OBIBPL_00751"
"Small ribosomal subunit protein uS19","","Small ribosomal subunit protein uS19","2","2","1","1","309","","","","287","287","287","LIHGCB_00191","OBIBPL_00194"
"fliG","","Flagellar motor switch protein FliG","2","2","1","1","439","","","","1058","1058","1058","LIHGCB_00401","OBIBPL_00398"
"pknD","","Serine/threonine-protein kinase PknD","2","2","1","1","523","","","","2018","2018","2018","LIHGCB_00421","OBIBPL_00418"
